ArtistName,SongTitle,AltNames
ABBA,Dancing Queen,
AC/DC,You Shook Me All Night Long,
Alicia Bridges,I Love the Nightlife (Disco 'Round),
Aretha Franklin,Respect,
Aretha Franklin,Rock Steady,
Barry White,"You're My First, My Last, My Everything",
Bill Withers,Lovely Day,
Bob Seger,Old Time Rock and Roll,
Chaka Kahn,Ain't Nobody,
Charles Wright,Express Yourself,
Cheryl Lynn,Got To Be Real,
Chic,Good Times,
Chic,Le Freak,
Chubby Checker,Let's Twist Again,
Chuck Berry,Johnny B. Goode,
Chuck Berry,You Never Can Tell,
Curtis Mayfield,Move On Up,
Earth Wind & Fire,September,
Earth Wind & Fire,Shining Star,
Elvis Presley,Jailhouse Rock,
Funkadelic,Give Up the Funk,
Gloria Gaynor,I Will Survive,
Grand Funk Railroad,Some Kind of Wonderful,
Harry Belafonte,Jump in the Line,
Jackie Wilson,Higher and Higher,
James Brown,I Got You (I Feel Good),
James Brown,Sex Machine,
James Brown,Super Bad,
KC and the Sunshine Band,Get Down Tonight,
KC and the Sunshine Band,Jungle Boogie,
Kool & The Gang,Get Down On It,
Lipps Inc,Funky Town,
Martha & The Vandellas,Dancing In the Street,
Marvin Gaye,Got To Give It Up,
Marvin Gaye,Heard it Through the Grapevine,
Matt Ryd,Healed,I'm Healed|We're Healed
Michael Jackson,Don't Stop Til You Get Enough,Don't Stop 'Til You Get Enough
Michael Jackson,Off The Wall,
Michael Jackson,Rock With You,
Otis Day and the Knights,Shout,
Peaches & Herb,Shake Your Groove Thing,
Pete Townsend,Let My Love Open the Door,
Queen,Crazy Little Thing Called Love,
Ray Charles,I Got A Woman,
Rick James,Super Freak,
Rod Stewart,Do Ya Think I'm Sexy?,
Sam and Dave,"Hold On, I'm Comin'",
Sam and Dave,Sweet Soul Music,
Sam Cooke,Twistin' the Night Away,
Sly and the Family Stone,Everyday People,
Sly and the Family Stone,Thank You (Falettin' Me Be Mice Elf Agin),
Smokey Robinson,I Second That Emotion,
Stevie Wonder,"Signed, Sealed, Delivered",
Stevie Wonder,Sir Duke,
Stevie Wonder,Sunshine of My Life,
Stevie Wonder,Superstition,
Stevie Wonder,Uptight (Everything is All Right),
The Beatles,I Saw Her Standing There,
The Commodores,Brick House,
The Contours,Do You Love Me,
The Doobie Brothers,Long Train Runnin',
The Foundations,Build Me Up Buttercup,
The Gap Band,You Dropped a Bomb on Me,
The Isley Brothers,It's Your Thing,
The Jackson 5,ABC,
The Jackson 5,Dancing Machine,
The Jackson 5,I Want You Back,
The Jackson 5,I'll Be There,
The Spinners,Workin' My Way Back To You,
The Sugarhill Gang,Apache (Jump On It),
The Temptations,Ain't Too Proud To Beg,
Tina Turner,Proud Mary,
Van Morrison,Brown Eyed Girl,
Wild Cherry,Play That Funky Music,
Will Smith,Miami,
Wilson Pickett,In The Midnight Hour,
Wilson Pickett,Land of 1000 Dances,
